essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,prompt
1550,1,"Dear local Newspaper, @CAPS1 people use computers but not every one agress that it benefits society. In my opinion, computers benefit society. There are @CAPS1 websites that can help you find information. Computers also allow people to work easily. A third reason is @CAPS1 companies are able to use them to gain business. If you are doing a project or need to look up information about something, the internet is one of the easiest ways to find that information. Google.com has so much information about almost any topic you can think of. If you are a teenager that doesn't have a drivers license and there is no one to take you to the library, computers allow you to be able to hand in the report/project on time. There are also websites that find you direction, to where you need to go. Mapquest.com is a quick and easy way to help you figure out which way to go. Computers allow people to easily. If your family member lives far away and you don't have enough money for the phone bill, computers help you to not loose touch. There are websites that can help you keep in contact with old friends that you don't see anymore. Computers are one of the only ways that people fighting in the wars can talk to their relatives. They are not able to have phones and sending a letter can take a long time. Companies use computers for easy access to the public. If you are a new company, you can put a little ad on the sicle of the screen on yahoo.com and millions of people will see it. They of so use computers to make flyers easily and quickly. Making a hundred flyers by hand can take hours. But on the computers all you have to do is make one and then you can print out one-hundred. Using computers helps society. you can easily find what you are looking for and you are able talk to anyone you want. Also, it is easy for companies to attract business. Those are only a few of the @CAPS1 reasons why computers are good for society.",4,4,8,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
1175,1,"Dear people, Computers have been here for not a very long time and everyday more people buy computers and everyday people use them. As they are used for entertainment, education, and talking with people faraway, they have had a negative effect on people. Let me explain. First of all, as people use computers in the beginning they enjoy it. They go on the @CAPS1, play games, and use it for work. But as they keep using it, they start to get addicted. People are addicted to computers because of the games and being able to go on the @CAPS1. In fact, @PERCENT1 of all the people in this @CAPS3 who owns a @CAPS8, is addicted to computers. That percentage is expected to grow to @PERCENT2 in the next @NUM1 years. Addiction to computers lead to serious issues. People have died because they spent too much time on the @CAPS8 without eating and sleeping. In another newspaper not long ago, it stated that a student attending @ORGANIZATION1, was dropped out for doing so poorly during school. His parent found out that he was addicted to this game ""@CAPS3 of @CAPS4."" This game is right now the most played game on the @CAPS8 in this @CAPS3. Studies state that @CAPS8 addiction is almost as bad as smoking addiction. My second reason why @CAPS8 has a negative effect on people is because of online bullying. People chat on @CAPS5, @CAPS6, @CAPS7, and email and people are bullied. A friend of mine recently was emailed with words that hurt his feeling. Online bullying is worse that inteacting bullying. That's because @CAPS9 you say something on the @CAPS8, people don't know who you are. @PERSON1, a proffesor who recently did studies of online bullying says, ""Online bullying has become more severe than contact to contact bullying. People are threatened more and hear more bad words than interacting."" The online bullying and harassment is going to get worse @CAPS9 people don't stop. Also people can get arrested for what they write online. My final reason why computers have a negative effect on people is that people spend too much time on computers and don't exercise @CAPS8 contribute about @PERCENT3 to overweight people. On the @CAPS8, everything is much easier. Instead of mailing, you could e-mail. You can listen to music instead of walking up to the radio and turning it on. You could buy tickets, shop, talk with friends, and have fun just by sitting on a @CAPS8. But this is why people become overweight and obese. @PERCENT4 of the people who use computers are obese or overweight. Peole spend less time interacting with friends and family and enjoying nature. In conclusion, computers have a negative effect on people and parents should control their child's time on the computers. Just because of a @CAPS8, many issues rise. So @CAPS9 you think you are addicted, try to make a time schedule for your whole day. Use the @CAPS8 for an hour a time and take rests before using it again. Addiction, online bullying, and becoming overweight is not the only problems of a @CAPS8, there are many more.",5,4,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
303,1,"Dear @CAPS1 @CAPS2, The use of computers does not benefit our society. Instead of spending time with the people we love, like friends and family, our time is knawed up by the one electronical device that many people depend on; the computer. This is not a very good thing to have an electronic device like this in our ever day lives because it uses a lot of electricity, it is expensive to buy and replace, and it allows hackers or other bad people into things we dont want them to see. But using electricity is @CAPS4 the start. By using electricity for this nonsense device, we waste money. We also are doing our part to destroy the environment. Greenhouse gasses and fuel are poisoning the air and being wasted. ""I don't have a computer at my house, and I get along pretty well."" @CAPS3 a local environmentalist. So that's @CAPS4 it; we can get along well without the computers taking over our lives. Along with not being good for the environment, it is also not good for the economy. My dad always @CAPS3 how he doesn't like to waste money, and then he goes and purchase a computer. Not only has this computer crashed once, but twice! A waste of money has been put into buying it, restoring it once, and now restoring it a second time! Plus computers waste our time. I always remember my grandfather saying "",I don't know why you folks waste all your precious time and money on these doo-dads!"" With so many people aquiring new devices, fewer people will be able to keep track of what goes where and who sees it. This is a terribele thing for the people, but a very, very good thing for the bad people. By ""bad people"" I mean internet hackers. As time goes on, and people get less aware of what's happening in their electronic lives, more and more hackers will be able to get what they want; in fact, anything they want. ""@CAPS4 a few months ago, I put a message on the message board on the @CAPS5 website which said I would be on vacation for a week. My address was also posted, because that message was a mobile upload. When I came back from vacation, half the things in my house were gone!"" said a local resident. Burglaries, robberies, and internet access can lead to chaos. Feeble protection is never good. But remember, computers are using massive amounts of electricity, amking many people waste time and money, and allowing bad people into things we don't want them to see. Please understand the meaning how terrible computers are.",5,5,10,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
109,1,"Dear editor, @CAPS1 name is @PERSON1, and I believe that computers are a benefit to the world, and people as well. I say this because lots of people can talk to family of friends long distance. Also the computer can teach you lots of thing. Finally it makes you more social. In @CAPS1 strong opinion computers are better for the world. Firstly, many people can talk long distance with family of friends. You have web cam and that allows you to chat and see the person. Also @CAPS2 is another site where you can talk to friends and then you can have a lot and put pictures of yourself and even videos, even though you can talk on the phone and do all this but on the phone it costs money for a plan. When you use a computer it is completely free. Secondly, the computer teaches you things that help you later on in life, and it let's you know things as well. The computer people made programs that can computers and more really cool. The programs teach you how to type, it is called type to learn or type for fun. Also they have programs that let you know how to read. It is great for kids because they need to know these things any ways. Finally, the computer makes you more social. This is because you have @CAPS2 and it let's you know things that happen in school or out of school. You can talk to people on @CAPS2 or email each other and have a conversation with them. You can also meet new people from other places and have a good relationship with them. You have friends with and know who they are and won't need to figure it out. So, this is why I believe that having a computer is a good idea, and good to have. You can talk to people long distance. The computer teaches you things for life. Finally it makes you more social with people. So in @CAPS1 strong opinion it is a good idea to have a computer.",4,4,8,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
919,1,"Dear @LOCATION1, I understand this focus situation, the effect of computers or our society people's reactions are less than about them & my question to is who? Computers a very good effect on our town's specify. Computers areaids in tracking hand-eye coordination. They give people the opportunity to look at things & talk to that it traveled here they wallets empty faster than the speed of it. @CAPS2 also have the ability to help people so things that an than a pig sty. Let me explain more these reasons. Computers are very good for our society because they are kids in tracking hand-eye coordination to kids & adults. Just to help you understand why in to teach hand-eye coordination, @CAPS2 are so many that help you learn but help you learn will get you. In foot ball catching helps to teach the skill but makes you up on the ground after being by someone potentially yourself. In baseball swinging at a pitch to teach his skill, but if the is very close to you it could how you for the if you do the ball could someone & hurt them, ability to day back. Computers are great way to this skill in a saw Even @CAPS1 @PERSON1 here in town says that he has seen an of kids with better hand eye coordination, due to do have a good our town? Well, computers let people to that. You can talk to relatives in far away places but to travel with this. I'm sure that you're wondering if I have I do have another reason. Computers have to samethings electronically so fast easily, make a look on computer's hard drives, @CAPS2 are so much more that ran be on a computer, that make a room empty. Before my famiy had a computer complete dedicated to papers files that your so important & that we could not lose. When up got picture, typed up paper, saved our was empty! I hope that this letter has proves to you computers effect on our society. Computers help and in the process of hand eye coordination. The help to thing happen but if done on real life could faster of they also help to electronically than a. So now, after this letter you go out i publish this telling every good effects of computers. Again I thank you for reading this letter.",5,6,11,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
49,1,"Dear local newspaper, I am writing this letter to you to show on how people get effected from computers. It effects people very well and teaches people many things for just one technology. Computers effects many people for what it does. Computers have many advantages that people learn very quickly. Many people love computers. It is one of the most best inventions to everyone around the world. They teach positive things for people to learn. Computer even have a positive effect on people across the world. They teach many things for people to learn and that have already learned. Such as, hand-eye cordination. When you type up words it teaches you to see better with your eyes. Computers also, give people the ability to see, understand, and gives information about people across the world. Celebraties are very popular on computers or other technologies. Computers help you learn things better than any other technologies. Anything you can get on any other technologies. There is a guarantee of you will find it on your computer. Computers are just like other technologies but in some categories they're much better than the others. Computers are very important in life because without computers we would not learn how to communicate with each other. If we did not have phones to use to call someone. On the computer if you go online you can maybe talk to someone by their email address. You can talk to someone that you have not talk to in years. You can look images or videos that you haven't seen in years. On computers, you can find out information from news that week of or even the day of. In conclusion all I say is that without computers in this world. What would it be like? Most technologies that are not as good computers will be popular without computers. I wonder what it will be like?",3,3,6,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
810,1,"Dear @LOCATION1 Newspaper, I belive that computers have a very positive effect on people. Computers can help kids with homework. Computers also let people learn new things. You can even communication with friends. There are many great uses for a computer. Kids have lots of homework and without computers it would be nearly impossible to finish it all. At @ORGANIZATION1, students recieve a project almost every month. We need pictures, information, and it must be neat. Computers are about the only way to find pictures, information, and make it neat. Kids also get a ton of homework and computers are very important for it. In science class we get a packet for homework for every new unit and without a computer it would be really hard to get done. You can also learn many things you never knew from using a computer. There are a lot of uses for a computer and one of them is learning. There are many educational websites on computers. If you were traveling somewhere and wanted to find out more about that place you could search it on the internet. Even if you're reading a book and come across a word you don't know you could look it up and you will find it. Communicating with friends is also important and computers offer many different ways of doing it. There are facebook, @CAPS1, and videochat. You could use facebook if you want to talk to friends or videochat also to talk to friends. Those things are great if you want to show pictures from a vacation or talk to a friend in a different country. These are all great ways to use computers. I definately think computers have a positive effect on people. They help with projects and homework, learning new things and communicating with friends. Computers are great.",4,4,8,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
249,1,"According to @PERSON1, economic @CAPS1, every hour you spend on the computer, you raise your electricity bill by @MONEY2. The average @CAPS2 spends @NUM1 hours on the computer everyday. I believe that spending too much time on the computer could be a bad thing. You have economic loss from the electric bill, health loss because you won't be able to exercise as much, and community less because you won't spen as much with your community. Financial loss is something that many people are concerned about. If everybody spent @NUM2 less hour on the computer, they could save @MONEY1 off their electric bill. In a survey, @NUM3 out @MONEY1 @NUM4 people said they would do anything to save money. So if they spent less time on the computer they would save lots @MONEY1 money. In addition to financial loss there is also a health issue. Many people are talking about how americans are becoming obise. Part @MONEY1 this is due to spending too much time on the computer. Proffesor @CAPS3 @MONEY1 @ORGANIZATION1 says that, ""the obisety in @LOCATION1 is a problem, if people spent less time on the computer and more time exercising, that problem would be solved."" @CAPS4, @NUM5 out @MONEY1 @NUM6 people are obese. If everyone spent @NUM2 less hour on the computer, it would become @NUM1 out @MONEY1 @NUM6. Although health is a problem community is a bigger one. People never talk to eachother face to face anymore. They all talk on @CAPS5 or @CAPS6. Commmunities are spending less time together in real life than on the computer. @PERSON1, expert on human behavior, says that when people spend less time on the computer, ther spend more time together. It's a fact that when people spend more time together, they have more fun. So, I would say that spending less time on the computer would be beneficial to our community. It would provides financial, health, and community benefits. These are all important things that we lack if we spend too much time on the commputer.",5,4,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
1520,1,"Dear @CAPS1 @CAPS2, @CAPS3 have many debated on whether computers are good or bad. @CAPS6, I believe that computers aren't as good as many people think. Ever since computers were invented people haven't been exercising. Also less kids are reading. Lastly computers are taking away family time. When was the last time you saw a kid outside doing something active such as running or playing a sport? If you haven't it's probably because they are inside with their eyes glued to a computer screen. Exercise is a big part in staying healthy and fit. More kids are becoming over weight everyday. Computer are just another reason why. I had a friend who used to spend all her time on the computer. She became very lazy. She never wanted to exercise or doing anything active. Little by little she started gaining weight. This is happening all around the world and it need to @CAPS4! What's your reading level? @CAPS3 are students in @NUM1 grade with a @NUM2 grade reading level. Part of the reason is because they rather use their free time on the computer instead of picking up a book. Schools now do program called @CAPS5 @NUM3. This program is designed to help students improve their reading levels. I believe that if students would turn off the computers long enough and @CAPS5 we wouldn't need this program. My mom makes sure I @CAPS5 for at least @NUM4 mins everyday. Every student do the same. I remember a saying ""family time is golden time"" @CAPS6, now a days no one spends time with their family. Once again computers have played a part in this too. It's not just kids who have droped family time for computer time. It's adults too. I think the last time I spent some time with my family was about @NUM5 weeks ago when my grandparents came to visit. After that everyone went right back to staring at computer screens. In conclusion, the computers",4,5,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
483,1,"Dear @CAPS1, The effects computers hace on society is a mixture of positive use and negative use. Getting tired and lazy is a negative use of the computer. When you are on the computer. When you are on the computer for more than @NUM1 minutes ayou start to get lazy and not wanting to get up. That affects a lot of people @DATE1 because there are a lot of people working on their computer for there jobs and they have to use the computer. Kids are harder because they don't want to do something other than just sitting on the computer instead of when they come back from school because they are so tired, if we limit the time they use the computer it will be better for kids, grown ups, and your brain. When adults spend a lot of time on the computer due to there jobs or checking their email, a lot of times they don't interact with their family or other people because they are on the computer I can connect with this because @CAPS4 dad is always on the computer due to his office not talking to us or even seeing is. Sometimes I wish that the world should of never invented computers because I get so frustated with them, but a lot of times we do spend family time and its good to get away from your computers beside thats what makes the money. Emailing, chating, @CAPS3, aim, @CAPS2 are all echnology communication using these communcation is helpful if somebody can't text or doesn't have a phone you can always chat them on @CAPS3 or send them an email. Email & @CAPS3 are the only @NUM2 communications I @CAPS4 dad sends use a lot of emails to @CAPS4 soccer coach about how I am not going to be at a game or I am going to a game, and he always responds. It is very easy. @CAPS3 is a good way for kids to talk to one another because some might not have phones or you don't see them at all during the school day. It's a good way to communicate without @CAPS3 or email I don't know what would happen, but I knoe it would be bad. So you see how computers have positives or negatives getting lazy, not spending enough time with friends or family and talking to friends are all positive & negative conflicts of the computer.",5,4,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
